Track,Date,Driver,Lap,Time,Sector 1,Sector 2,Sector 3
Fastimes Indoor Karting,2026-08-11,Priya Raman,1,32.609,11.410,10.661,10.538
Fastimes Indoor Karting,2026-08-11,Priya Raman,2,32.861,11.382,10.772,10.707
Fastimes Indoor Karting,2026-08-11,Priya Raman,3,32.405,11.309,10.544,10.552
Fastimes Indoor Karting,2026-08-11,Priya Raman,4,32.214,11.293,10.424,10.497
Fastimes Indoor Karting,2026-08-11,Priya Raman,5,31.712,11.097,10.293,10.322
Fastimes Indoor Karting,2026-08-11,Priya Raman,6,31.951,11.185,10.436,10.330
Fastimes Indoor Karting,2026-08-11,Priya Raman,7,32.298,11.354,10.448,10.496
Fastimes Indoor Karting,2026-08-11,Priya Raman,8,31.780,11.139,10.362,10.279
Fastimes Indoor Karting,2026-08-11,Priya Raman,9,32.258,11.245,10.464,10.549
Fastimes Indoor Karting,2026-08-11,Priya Raman,10,32.249,11.241,10.578,10.430
Fastimes Indoor Karting,2026-08-11,Priya Raman,11,33.384,11.583,10.956,10.845
Fastimes Indoor Karting,2026-08-11,Priya Raman,12,32.048,11.160,10.524,10.364
Fastimes Indoor Karting,2026-08-11,Priya Raman,13,31.565,11.057,10.287,10.221
Fastimes Indoor Karting,2026-08-11,Priya Raman,14,31.921,11.216,10.353,10.352
Fastimes Indoor Karting,2026-08-11,Priya Raman,15,32.238,11.326,10.596,10.316
Fastimes Indoor Karting,2026-08-11,Priya Raman,16,31.980,11.215,10.405,10.360
Fastimes Indoor Karting,2026-08-11,Priya Raman,17,32.037,11.216,10.486,10.335
Fastimes Indoor Karting,2026-08-11,Priya Raman,18,32.221,11.176,10.436,10.609
Fastimes Indoor Karting,2026-08-11,Priya Raman,19,32.190,11.311,10.528,10.351
Fastimes Indoor Karting,2026-08-11,Priya Raman,20,32.240,11.209,10.436,10.595
Fastimes Indoor Karting,2026-08-11,Priya Raman,21,32.019,11.116,10.426,10.477
Fastimes Indoor Karting,2026-08-11,Priya Raman,22,31.649,11.076,10.308,10.265
Fastimes Indoor Karting,2026-08-11,Priya Raman,23,32.011,11.231,10.406,10.374
Fastimes Indoor Karting,2026-08-11,Priya Raman,24,31.836,11.072,10.436,10.328
Fastimes Indoor Karting,2026-08-11,Priya Raman,25,32.016,11.237,10.456,10.323
Fastimes Indoor Karting,2026-08-11,Priya Raman,26,31.840,11.070,10.363,10.407
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,1,32.827,11.390,10.677,10.760
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,2,32.318,11.367,10.503,10.448
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,3,32.454,11.415,10.511,10.528
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,4,31.848,11.166,10.335,10.347
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,5,31.906,11.211,10.479,10.216
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,6,32.387,11.249,10.581,10.557
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,7,32.390,11.250,10.645,10.495
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,8,31.973,11.118,10.435,10.420
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,9,32.325,11.253,10.572,10.500
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,10,31.917,11.222,10.432,10.263
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,11,33.660,11.659,10.980,11.021
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,12,31.757,11.151,10.269,10.337
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,13,32.238,11.169,10.483,10.586
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,14,31.948,11.104,10.335,10.509
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,15,32.127,11.138,10.420,10.569
Fastimes Indoor Karting,2026-08-11,Nina Alvarez,16,32.123,11.205,10.507,10.411
