Track,Date,Driver,Lap,Time,Sector 1,Sector 2,Sector 3
Monza,2023-10-01,Mario,1,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,2,84.900,28.400,29.000,27.500
Monza,2023-10-01,Luigi,1,1:26.000,29.000,29.500,27.500
Monza,2023-10-01,Mario,3,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,4,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,5,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,6,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,7,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,8,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,9,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,10,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,11,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,12,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,13,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,14,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,15,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,16,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,17,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,18,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,19,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,20,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,21,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,22,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,23,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,24,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,25,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,26,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,27,1:25.100,28.500,29.100,27.500
Monza,2023-10-01,Mario,28,1:25.100,28.500,29.100,27.500
